userid,version,total_rounds,one_d_retention,seven_d_retention
34906,Gate 30,10,1,0
34942,Gate 40,8,0,0
35027,Gate 40,58,1,0
35056,Gate 30,84,1,0
35156,Gate 30,1,0,0
35458,Gate 40,56,0,0
35460,Gate 30,43,1,0
35730,Gate 30,50,1,0
35837,Gate 30,23,1,0
35886,Gate 30,5,0,0
35922,Gate 30,21,1,0
36003,Gate 30,48,1,0
36047,Gate 40,85,1,1
36077,Gate 30,13,1,0
36279,Gate 30,41,1,0
36280,Gate 30,5,0,0
36298,Gate 40,1,0,0
36356,Gate 30,303,1,1
36513,Gate 40,18,1,0
36560,Gate 40,48,1,0
36622,Gate 30,4,1,0
36664,Gate 40,51,0,1
36673,Gate 30,5,0,0
36761,Gate 40,134,1,1
36887,Gate 40,11,1,0
36921,Gate 30,3,0,0
36997,Gate 40,9,1,0
37155,Gate 40,3,0,0
37303,Gate 30,177,1,1
37366,Gate 40,11,1,0
37461,Gate 40,20,0,1
37740,Gate 30,39,1,1
37823,Gate 30,12,1,0
37872,Gate 30,12,1,0
37994,Gate 40,2,0,0
38151,Gate 30,9,1,0
38232,Gate 30,216,1,1
38249,Gate 40,30,1,0
38292,Gate 30,9,0,0
39069,Gate 30,227,0,0
39382,Gate 30,0,0,0
39494,Gate 30,87,1,0
39531,Gate 30,71,1,0
39774,Gate 40,567,1,1
39902,Gate 40,13,1,0
39932,Gate 30,55,1,1
39993,Gate 40,14,0,0
40233,Gate 40,78,1,0
40292,Gate 30,1,0,0
40359,Gate 30,3,0,0
40378,Gate 30,552,1,1
40427,Gate 30,96,1,0
40566,Gate 30,2,0,0
40593,Gate 30,12,1,1
40630,Gate 40,99,1,0
40653,Gate 30,107,1,0
40687,Gate 30,12,0,0
40749,Gate 40,2,0,0
40812,Gate 40,2,0,0
41112,Gate 30,4,0,0
41192,Gate 30,28,0,0
41378,Gate 40,9,0,0
41795,Gate 30,136,1,1
41842,Gate 40,15,0,0
41934,Gate 40,8,0,0
41988,Gate 40,1,0,0
42077,Gate 30,12,1,0
42316,Gate 30,6,0,0
42407,Gate 30,45,0,1
42457,Gate 30,12,0,0
42688,Gate 40,13,0,0
42703,Gate 30,9,1,0
42758,Gate 40,11,1,0
42994,Gate 40,113,1,1
43091,Gate 30,6,1,0
43368,Gate 40,32,0,0
43644,Gate 30,17,1,0
43744,Gate 30,141,1,0
43757,Gate 30,28,0,0
44400,Gate 40,95,1,0
44493,Gate 40,339,1,1
44498,Gate 30,24,1,0
44591,Gate 30,5,0,0
44670,Gate 30,6,0,0
44751,Gate 30,10,0,0
44780,Gate 30,9,0,0
44910,Gate 40,6,0,0
45066,Gate 30,85,1,0
45083,Gate 40,54,0,0
45167,Gate 30,19,0,0
45694,Gate 40,6,1,0
45698,Gate 30,452,1,1
45753,Gate 30,26,1,0
45813,Gate 40,12,1,0
45895,Gate 40,2,1,0
45896,Gate 40,11,1,0
45952,Gate 40,3,0,0
46007,Gate 30,6,0,0
46022,Gate 40,7,0,0
46347,Gate 30,57,0,0
46472,Gate 40,16,0,0
46576,Gate 30,15,0,0
46624,Gate 40,148,1,1
46629,Gate 40,57,1,0
46746,Gate 40,3,1,0
46806,Gate 30,163,1,1
46919,Gate 40,47,1,0
46938,Gate 30,54,0,0
47377,Gate 40,2,0,0
47816,Gate 30,220,1,1
47822,Gate 40,63,1,1
47990,Gate 40,25,1,0
48016,Gate 30,0,0,0
48116,Gate 30,1,0,0
48130,Gate 30,2,0,0
48201,Gate 40,84,1,1
48631,Gate 40,60,0,0
48658,Gate 30,216,1,1
48677,Gate 40,17,1,0
48942,Gate 30,290,1,1
48990,Gate 40,3,0,0
49147,Gate 40,24,1,0
49311,Gate 40,5,0,0
49330,Gate 30,18,0,0
49373,Gate 30,5,0,0
49600,Gate 30,20,0,0
49811,Gate 40,9,1,0
49995,Gate 40,15,1,0
50011,Gate 40,4,0,0
50158,Gate 40,87,1,1
50237,Gate 40,86,1,0
50339,Gate 40,0,0,0
50386,Gate 40,4,0,0
50547,Gate 30,356,0,0
50665,Gate 30,10,1,0
50686,Gate 40,3,0,1
50688,Gate 30,0,0,0
50794,Gate 40,0,0,0
50811,Gate 30,3,0,0
50850,Gate 30,34,1,1
51155,Gate 30,34,0,0
51267,Gate 30,0,0,0
51295,Gate 30,117,1,1
51310,Gate 30,23,0,1
51430,Gate 30,34,1,0
51636,Gate 40,8,0,0
51641,Gate 40,20,1,0
51823,Gate 40,54,1,1
51894,Gate 30,4,0,0
51970,Gate 40,76,0,1
52100,Gate 40,55,1,0
52177,Gate 40,3,0,0
52271,Gate 40,2,0,0
52357,Gate 30,22,1,0
52420,Gate 30,15,1,1
52636,Gate 40,3,0,0
53149,Gate 40,4,0,0
53373,Gate 40,298,1,1
53393,Gate 30,338,1,1
53450,Gate 40,1,0,0
53464,Gate 40,12,0,0
53470,Gate 40,7,0,0
53597,Gate 40,5,0,0
53638,Gate 30,16,0,0
53763,Gate 30,9,1,0
53935,Gate 40,4,0,0
53996,Gate 40,115,1,1
54069,Gate 30,170,1,1
54162,Gate 30,174,1,1
54178,Gate 30,21,0,0
54244,Gate 40,4,0,0
54256,Gate 40,6,0,0
54403,Gate 30,6,0,0
54580,Gate 30,22,0,0
54617,Gate 40,12,0,0
54680,Gate 40,2,0,0
54681,Gate 40,2,0,0
54754,Gate 30,70,1,0
54776,Gate 30,0,0,0
54975,Gate 30,3,0,0
55139,Gate 30,25,0,0
55213,Gate 40,141,1,1
55250,Gate 40,47,1,1
55480,Gate 30,1,0,0
55621,Gate 30,32,0,0
56116,Gate 40,3,0,0
56237,Gate 40,10,0,0
56269,Gate 30,2,0,0
56294,Gate 40,2,1,0
56446,Gate 30,15,0,0
56496,Gate 40,543,1,1
56522,Gate 30,10,0,0
56587,Gate 40,54,1,0
56815,Gate 30,202,1,1
56895,Gate 40,2,0,0
56997,Gate 40,41,0,0
57149,Gate 30,15,0,0
57321,Gate 30,54,0,0
57334,Gate 40,5,1,0
57339,Gate 40,22,1,0
57369,Gate 40,399,1,1
57401,Gate 30,13,1,0
57429,Gate 40,29,1,0
57516,Gate 30,38,1,1
57833,Gate 40,0,0,0
58180,Gate 40,19,1,0
58189,Gate 30,23,0,0
58289,Gate 30,237,1,1
58394,Gate 40,25,1,0
58592,Gate 40,85,1,0
58700,Gate 30,0,0,0
58768,Gate 30,11,0,0
58813,Gate 40,1,0,0
59164,Gate 30,7,1,0
59395,Gate 30,33,1,1
59531,Gate 30,18,0,0
60035,Gate 40,14,0,0
60103,Gate 40,18,0,0
60160,Gate 40,11,1,0
60410,Gate 40,26,1,0
60424,Gate 30,6,0,0
60619,Gate 40,65,1,0
60929,Gate 40,16,1,0
60956,Gate 40,17,0,0
60984,Gate 30,139,0,1
61104,Gate 30,0,0,0
61245,Gate 30,24,1,0
61462,Gate 30,23,0,0
61563,Gate 30,7,0,0
61595,Gate 40,29,0,0
61609,Gate 30,4,0,0
61651,Gate 30,3,0,0
61952,Gate 30,19,0,0
61979,Gate 30,2,0,0
62084,Gate 30,12,0,0
62145,Gate 40,1,0,0
62206,Gate 30,0,0,0
62434,Gate 30,6,0,0
62437,Gate 40,5,0,0
62566,Gate 40,67,1,0
62700,Gate 40,36,1,1
62704,Gate 40,2,0,0
62879,Gate 30,1,0,0
63001,Gate 40,33,1,0
63335,Gate 30,9,1,0
63370,Gate 30,179,1,1
63473,Gate 30,1,0,0
63478,Gate 30,202,1,1
63480,Gate 30,9,1,0
63555,Gate 40,43,0,0
63617,Gate 30,902,1,1
63766,Gate 30,6,0,0
63786,Gate 40,22,0,0
63832,Gate 30,1,0,0
63889,Gate 30,9,1,1
63962,Gate 30,4,1,0
64052,Gate 30,1,0,0
64224,Gate 40,15,0,1
64235,Gate 30,1,0,0
64309,Gate 40,125,1,0
64643,Gate 40,24,0,0
64646,Gate 40,1,0,1
64792,Gate 30,269,1,0
64849,Gate 40,31,1,0
64930,Gate 30,510,1,0
64944,Gate 40,62,0,0
65032,Gate 40,5,0,0
65452,Gate 30,16,0,0
65482,Gate 40,10,0,0
65511,Gate 30,4,0,0
66120,Gate 40,28,0,0
66509,Gate 30,46,1,0
66677,Gate 40,1,0,0
66713,Gate 40,4,0,0
66947,Gate 40,13,1,0
67078,Gate 30,9,0,0
67122,Gate 30,18,0,0
67190,Gate 40,15,0,0
67193,Gate 40,1,0,0
67234,Gate 30,3,0,0
67387,Gate 30,12,0,0
67654,Gate 40,8,0,0
67829,Gate 40,0,0,0
67910,Gate 40,18,1,0
67950,Gate 30,7,0,0
68020,Gate 40,52,0,1
68112,Gate 30,0,0,0
68151,Gate 40,136,1,0
68386,Gate 30,5,0,0
68394,Gate 40,474,1,1
68406,Gate 40,5,0,0
68485,Gate 30,26,1,0
68698,Gate 40,83,1,0
68856,Gate 30,1,0,0
68887,Gate 40,1,0,0
68915,Gate 40,121,0,0
68965,Gate 40,105,1,1
69027,Gate 40,2,0,0
69050,Gate 30,20,1,0
69392,Gate 30,46,0,0
69488,Gate 30,5,0,0
69649,Gate 40,80,1,1
69870,Gate 40,210,1,1
69917,Gate 40,16,1,0
69927,Gate 30,1906,1,1
69998,Gate 30,16,0,0
70074,Gate 30,0,0,0
70127,Gate 30,1,0,0
70175,Gate 40,35,1,1
70294,Gate 40,199,1,0
70522,Gate 40,6,0,0
70570,Gate 30,5,0,0
70899,Gate 40,3,0,0
71062,Gate 30,25,1,0
71119,Gate 30,118,1,1
71161,Gate 40,68,1,0
71165,Gate 40,105,1,0
71205,Gate 30,5,0,0
71235,Gate 30,38,1,0
71326,Gate 40,8,0,0
71489,Gate 30,7,0,0
71635,Gate 30,4,0,0
71698,Gate 30,6,0,0
71777,Gate 40,12,0,0
72085,Gate 40,103,1,0
72164,Gate 30,259,1,1
72353,Gate 40,5,0,0
72419,Gate 40,12,1,0
72470,Gate 40,6,1,0
72555,Gate 30,298,1,1
72614,Gate 40,3,0,0
72661,Gate 40,1,0,0
72752,Gate 40,15,0,0
72813,Gate 30,6,1,0
72872,Gate 30,10,0,0
72918,Gate 40,13,0,0
72977,Gate 40,12,1,0
73378,Gate 40,34,1,0
73412,Gate 30,3,0,0
73868,Gate 40,2,0,0
74231,Gate 30,7,0,0
74276,Gate 30,24,1,1
74369,Gate 40,7,0,0
74377,Gate 30,53,1,0
74422,Gate 40,38,0,1
74568,Gate 30,11,1,0
75029,Gate 40,98,1,0
75734,Gate 40,4,0,0
76062,Gate 30,5,0,0
76089,Gate 40,3,0,0
76133,Gate 30,50,0,0
76549,Gate 30,149,0,1
76573,Gate 30,20,1,0
76598,Gate 30,1,0,0
76662,Gate 40,30,1,0
76767,Gate 40,4,0,0
76784,Gate 40,53,1,0
76895,Gate 40,5,0,0
76917,Gate 30,113,1,0
76934,Gate 40,2,0,0
77151,Gate 40,2,0,0
77172,Gate 30,0,0,0
77195,Gate 40,25,1,0
77468,Gate 30,12,0,0
77495,Gate 40,59,0,0
77644,Gate 30,15,0,0
77731,Gate 30,106,1,1
77812,Gate 40,2,0,0
77821,Gate 40,7,0,0
77837,Gate 40,6,0,0
77850,Gate 30,59,1,0
78089,Gate 30,47,0,0
78142,Gate 40,1,0,0
78183,Gate 30,34,1,0
78237,Gate 30,4,0,0
78312,Gate 30,12,0,0
78409,Gate 30,15,1,0
78563,Gate 40,32,0,0
78846,Gate 30,0,0,0
78900,Gate 30,2,0,0
79646,Gate 40,34,1,0
79890,Gate 30,11,0,0
79929,Gate 40,16,0,0
80215,Gate 40,2,0,0
80282,Gate 30,128,1,1
80485,Gate 40,9,0,0
80496,Gate 40,0,0,0
80526,Gate 30,34,0,1
80582,Gate 40,7,0,0
80618,Gate 40,7,0,0
80634,Gate 40,215,1,1
80746,Gate 30,1,0,0
80754,Gate 40,0,0,0
80860,Gate 40,231,1,0
80884,Gate 30,5,0,0
80900,Gate 40,16,0,0
81447,Gate 30,34,0,0
81480,Gate 40,2,0,0
81524,Gate 30,34,1,0
81532,Gate 30,2,0,0
81668,Gate 40,12,0,0
81959,Gate 40,6,0,0
82064,Gate 30,41,1,0
82545,Gate 40,36,0,0
82655,Gate 40,13,0,0
82753,Gate 30,3,0,0
82783,Gate 40,36,1,1
82937,Gate 40,28,0,0
83072,Gate 30,11,1,0
83080,Gate 40,12,0,0
83103,Gate 30,7,0,0
83140,Gate 40,14,0,0
83254,Gate 30,3,1,0
83309,Gate 40,0,0,0
83317,Gate 40,5,0,0
83438,Gate 40,129,1,1
83732,Gate 40,95,0,1
83798,Gate 40,96,1,0
84100,Gate 30,160,1,0
84191,Gate 30,0,0,0
84208,Gate 40,17,0,0
84406,Gate 40,24,1,0
84816,Gate 40,11,1,0
84929,Gate 40,6,0,0
84961,Gate 40,26,0,0
85007,Gate 40,110,1,1
85277,Gate 30,61,1,1
85560,Gate 30,5,0,0
85601,Gate 30,15,0,0
85805,Gate 40,3,0,0
86342,Gate 30,12,0,0
86781,Gate 40,1,0,0
86821,Gate 40,65,1,0
87098,Gate 40,2,0,0
87220,Gate 40,18,0,0
87258,Gate 40,275,1,1
87276,Gate 30,19,0,1
87410,Gate 30,26,0,0
87419,Gate 30,46,0,0
87509,Gate 40,3,0,0
87542,Gate 30,40,1,0
87640,Gate 40,13,0,0
87649,Gate 40,8,0,0
87671,Gate 40,2,0,0
87697,Gate 40,3,0,0
87728,Gate 40,4,0,0
87827,Gate 30,37,1,0
88235,Gate 40,11,0,0
88282,Gate 30,22,1,0
88361,Gate 40,55,0,1
88392,Gate 30,20,1,0
88497,Gate 30,197,1,1
88521,Gate 40,44,0,0
88907,Gate 30,133,1,0
89272,Gate 40,0,0,0
89605,Gate 40,2,0,0
89618,Gate 30,21,0,0
90120,Gate 30,2,0,0
90233,Gate 30,5,0,0
90335,Gate 40,2,0,0
90481,Gate 40,14,0,0
90566,Gate 30,0,0,0
90640,Gate 30,44,0,1
90744,Gate 30,14,0,0
90755,Gate 30,76,1,0
90892,Gate 30,52,1,0
90916,Gate 40,88,1,1
90979,Gate 30,36,1,0
90992,Gate 40,66,1,0
91010,Gate 40,70,0,0
91027,Gate 30,2,0,0
91045,Gate 40,44,0,0
92061,Gate 40,98,1,0
92161,Gate 30,18,0,0
92162,Gate 30,9,0,0
92168,Gate 40,6,0,0
92286,Gate 30,3,1,0
92463,Gate 40,2,0,0
92638,Gate 40,54,0,0
92789,Gate 40,4,0,0
92914,Gate 40,13,0,1
93014,Gate 30,0,0,0
93131,Gate 40,8,0,0
93166,Gate 30,10,1,0
93241,Gate 30,18,0,0
93289,Gate 40,0,0,0
93646,Gate 30,33,0,0
93914,Gate 40,9,0,0
93957,Gate 30,6,0,1
93997,Gate 30,2,0,0
94159,Gate 30,79,1,1
94282,Gate 40,9,0,0
94407,Gate 30,1,0,0
94455,Gate 40,35,1,1
94639,Gate 30,4,0,0
94768,Gate 30,9,0,0
94904,Gate 30,43,1,0
95033,Gate 30,42,1,0
95357,Gate 40,6,1,1
95371,Gate 30,282,1,1
95530,Gate 30,11,0,0
95696,Gate 40,42,0,1
95946,Gate 30,16,0,0
96038,Gate 40,132,0,1
96058,Gate 30,49,1,1
96076,Gate 30,95,1,1
96123,Gate 40,3,0,0
96471,Gate 30,183,1,0
96535,Gate 40,24,0,0
96561,Gate 40,112,1,1
96675,Gate 30,70,1,1
96744,Gate 30,332,1,1
96745,Gate 40,100,1,1
97019,Gate 30,3,0,0
97308,Gate 30,798,1,1
97461,Gate 40,4,0,0
97741,Gate 30,0,0,0
97754,Gate 30,27,1,0
97777,Gate 40,41,1,0
97849,Gate 30,81,1,1
97873,Gate 40,49,1,0
97971,Gate 30,142,1,1
98151,Gate 30,31,0,0
98229,Gate 30,5,1,0
98354,Gate 40,35,0,0
98592,Gate 40,4,0,0
98833,Gate 30,3,0,0
98955,Gate 30,16,0,0
99178,Gate 30,12,0,0
99252,Gate 40,48,1,0
99264,Gate 30,8,1,0
99307,Gate 40,6,1,0
99411,Gate 40,13,0,0
99583,Gate 40,35,1,0
99630,Gate 30,4,0,0
99631,Gate 40,9,1,0
99806,Gate 30,7,1,0
99912,Gate 40,27,1,0
99928,Gate 40,83,1,0
99944,Gate 40,3,0,0
99976,Gate 30,3,0,0
100026,Gate 40,3,0,0
100084,Gate 30,143,0,1
100151,Gate 40,39,1,1
100214,Gate 40,114,1,1
100367,Gate 30,71,1,0
100511,Gate 30,13,0,0
100556,Gate 40,63,1,1
100585,Gate 30,75,1,0
100807,Gate 30,27,1,0
100899,Gate 40,15,0,0
100933,Gate 30,8,0,0
101024,Gate 40,17,1,0
101041,Gate 30,95,1,0
101248,Gate 40,6,0,0
101591,Gate 30,186,1,1
101601,Gate 30,50,1,0
101664,Gate 30,129,1,0
101675,Gate 40,1,0,0
101697,Gate 40,4,1,0
101864,Gate 40,30,0,0
101880,Gate 30,1,0,0
101884,Gate 40,3,0,0
101915,Gate 30,164,1,1
101953,Gate 40,1,1,0
101961,Gate 40,9,0,0
102182,Gate 40,6,0,0
102302,Gate 40,78,0,1
102540,Gate 30,249,1,1
102573,Gate 40,34,0,0
102598,Gate 30,29,1,0
102742,Gate 40,18,1,0
102748,Gate 40,4,0,0
102753,Gate 30,14,0,0
102931,Gate 30,2,0,0
102977,Gate 30,8,0,1
103095,Gate 40,47,1,0
103308,Gate 40,3,0,0
103414,Gate 30,345,1,0
